sensor_id,road_id,timestamp,vehicle_count,average_speed_kmh,traffic_density,congestion_index,congestion_level,weather_id,hour,day_of_week,month,is_weekend,is_rush_hour
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-16T00:24:49.028805+00:00,50,40.63,2.4,0.19,LOW,3,0,1,6,False,False
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-16T00:24:49.028805+00:00,59,45.37,10.93,0.09,LOW,3,0,1,6,False,False
SENSOR_MAADI_ROAD_01,14,2026-06-16T00:24:49.028805+00:00,43,73.19,0.15,0.09,LOW,3,0,1,6,False,False
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-16T00:24:49.028805+00:00,53,60.16,2.68,0.0,LOW,3,0,1,6,False,False
SENSOR_TAHRIR_SQUARE_01,1,2026-06-16T01:24:49.028805+00:00,58,48.4,1.46,0.03,LOW,4,1,1,6,False,False
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-16T01:24:49.028805+00:00,58,50.55,1.57,0.16,LOW,4,1,1,6,False,False
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-16T01:24:49.028805+00:00,68,81.58,0.8,0.09,LOW,4,1,1,6,False,False
SENSOR_SALAH_SALEM_01,4,2026-06-16T01:24:49.028805+00:00,43,76.0,0.15,0.05,LOW,4,1,1,6,False,False
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-16T01:24:49.028805+00:00,58,58.92,1.35,0.02,LOW,4,1,1,6,False,False
SENSOR_SUEZ_ROAD_01,6,2026-06-16T01:24:49.028805+00:00,46,95.75,0.52,0.04,LOW,4,1,1,6,False,False
SENSOR_NASR_ROAD_01,7,2026-06-16T01:24:49.028805+00:00,81,53.59,4.15,0.11,LOW,4,1,1,6,False,False
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-16T01:24:49.028805+00:00,44,40.17,11.0,0.2,LOW,4,1,1,6,False,False
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-16T01:24:49.028805+00:00,18,52.05,0.75,0.0,LOW,4,1,1,6,False,False
SENSOR_EL_HARAM_STREET_01,10,2026-06-16T01:24:49.028805+00:00,50,58.91,2.31,0.02,LOW,4,1,1,6,False,False
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-16T01:24:49.028805+00:00,66,58.17,4.68,0.03,LOW,4,1,1,6,False,False
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-16T01:24:49.028805+00:00,23,46.27,1.11,0.07,LOW,4,1,1,6,False,False
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-16T01:24:49.028805+00:00,31,42.84,5.74,0.14,LOW,4,1,1,6,False,False
SENSOR_MAADI_ROAD_01,14,2026-06-16T01:24:49.028805+00:00,88,70.99,0.32,0.11,LOW,4,1,1,6,False,False
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-16T01:24:49.028805+00:00,37,58.58,1.87,0.02,LOW,4,1,1,6,False,False
SENSOR_TAHRIR_SQUARE_01,1,2026-06-16T02:24:49.028805+00:00,77,50.57,1.94,0.0,LOW,5,2,1,6,False,False
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-16T02:24:49.028805+00:00,52,55.34,1.41,0.08,LOW,5,2,1,6,False,False
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-16T02:24:49.028805+00:00,98,75.63,1.15,0.16,LOW,5,2,1,6,False,False
SENSOR_SALAH_SALEM_01,4,2026-06-16T02:24:49.028805+00:00,27,77.76,0.1,0.03,LOW,5,2,1,6,False,False
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-16T02:24:49.028805+00:00,24,53.79,0.56,0.1,LOW,5,2,1,6,False,False
SENSOR_SUEZ_ROAD_01,6,2026-06-16T02:24:49.028805+00:00,98,87.99,1.11,0.12,LOW,5,2,1,6,False,False
SENSOR_NASR_ROAD_01,7,2026-06-16T02:24:49.028805+00:00,47,59.27,2.41,0.01,LOW,5,2,1,6,False,False
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-16T02:24:49.028805+00:00,37,47.66,9.25,0.05,LOW,5,2,1,6,False,False
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-16T02:24:49.028805+00:00,30,46.56,1.25,0.07,LOW,5,2,1,6,False,False
SENSOR_EL_HARAM_STREET_01,10,2026-06-16T02:24:49.028805+00:00,47,59.55,2.18,0.01,LOW,5,2,1,6,False,False
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-16T02:24:49.028805+00:00,32,54.98,2.27,0.08,LOW,5,2,1,6,False,False
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-16T02:24:49.028805+00:00,31,42.94,1.49,0.14,LOW,5,2,1,6,False,False
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-16T02:24:49.028805+00:00,57,47.99,10.56,0.04,LOW,5,2,1,6,False,False
SENSOR_MAADI_ROAD_01,14,2026-06-16T02:24:49.028805+00:00,51,72.67,0.18,0.09,LOW,5,2,1,6,False,False
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-16T02:24:49.028805+00:00,78,57.63,3.94,0.04,LOW,5,2,1,6,False,False
SENSOR_TAHRIR_SQUARE_01,1,2026-06-16T03:24:49.028805+00:00,104,45.34,2.63,0.09,LOW,6,3,1,6,False,False
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-16T03:24:49.028805+00:00,84,54.24,2.28,0.1,LOW,6,3,1,6,False,False
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-16T03:24:49.028805+00:00,52,81.28,0.61,0.1,LOW,6,3,1,6,False,False
SENSOR_SALAH_SALEM_01,4,2026-06-16T03:24:49.028805+00:00,72,67.3,0.26,0.16,LOW,6,3,1,6,False,False
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-16T03:24:49.028805+00:00,51,59.34,1.19,0.01,LOW,6,3,1,6,False,False
SENSOR_SUEZ_ROAD_01,6,2026-06-16T03:24:49.028805+00:00,106,92.73,1.2,0.07,LOW,6,3,1,6,False,False
SENSOR_NASR_ROAD_01,7,2026-06-16T03:24:49.028805+00:00,54,54.86,2.77,0.09,LOW,6,3,1,6,False,False
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-16T03:24:49.028805+00:00,24,51.89,6.0,0.0,LOW,6,3,1,6,False,False
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-16T03:24:49.028805+00:00,20,49.68,0.83,0.01,LOW,6,3,1,6,False,False
SENSOR_EL_HARAM_STREET_01,10,2026-06-16T03:24:49.028805+00:00,41,52.69,1.9,0.12,LOW,6,3,1,6,False,False
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-16T03:24:49.028805+00:00,47,58.73,3.33,0.02,LOW,6,3,1,6,False,False
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-16T03:24:49.028805+00:00,24,50.94,1.15,0.0,LOW,6,3,1,6,False,False
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-16T03:24:49.028805+00:00,29,44.71,5.37,0.11,LOW,6,3,1,6,False,False
SENSOR_MAADI_ROAD_01,14,2026-06-16T03:24:49.028805+00:00,59,72.15,0.21,0.1,LOW,6,3,1,6,False,False
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-16T03:24:49.028805+00:00,29,59.06,1.46,0.02,LOW,6,3,1,6,False,False
SENSOR_TAHRIR_SQUARE_01,1,2026-06-16T04:24:49.028805+00:00,51,48.27,1.29,0.03,LOW,7,4,1,6,False,False
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-16T04:24:49.028805+00:00,78,49.2,2.11,0.18,LOW,7,4,1,6,False,False
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-16T04:24:49.028805+00:00,100,76.63,1.17,0.15,LOW,7,4,1,6,False,False
SENSOR_SALAH_SALEM_01,4,2026-06-16T04:24:49.028805+00:00,31,80.93,0.11,0.0,LOW,7,4,1,6,False,False
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-16T04:24:49.028805+00:00,50,56.54,1.17,0.06,LOW,7,4,1,6,False,False
SENSOR_SUEZ_ROAD_01,6,2026-06-16T04:24:49.028805+00:00,94,92.38,1.07,0.08,LOW,7,4,1,6,False,False
SENSOR_NASR_ROAD_01,7,2026-06-16T04:24:49.028805+00:00,64,57.2,3.28,0.05,LOW,7,4,1,6,False,False
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-16T04:24:49.028805+00:00,26,46.1,6.5,0.08,LOW,7,4,1,6,False,False
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-16T04:24:49.028805+00:00,38,48.32,1.58,0.03,LOW,7,4,1,6,False,False
SENSOR_EL_HARAM_STREET_01,10,2026-06-16T04:24:49.028805+00:00,45,53.67,2.08,0.11,LOW,7,4,1,6,False,False
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-16T04:24:49.028805+00:00,34,53.08,2.41,0.12,LOW,7,4,1,6,False,False
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-16T04:24:49.028805+00:00,17,51.11,0.82,0.0,LOW,7,4,1,6,False,False
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-16T04:24:49.028805+00:00,26,51.96,4.81,0.0,LOW,7,4,1,6,False,False
SENSOR_MAADI_ROAD_01,14,2026-06-16T04:24:49.028805+00:00,43,79.66,0.15,0.0,LOW,7,4,1,6,False,False
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-16T04:24:49.028805+00:00,33,59.78,1.67,0.0,LOW,7,4,1,6,False,False
SENSOR_TAHRIR_SQUARE_01,1,2026-06-16T05:24:49.028805+00:00,58,49.96,1.46,0.0,LOW,8,5,1,6,False,False
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-16T05:24:49.028805+00:00,72,48.79,1.95,0.19,LOW,8,5,1,6,False,False
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-16T05:24:49.028805+00:00,44,81.93,0.52,0.09,LOW,8,5,1,6,False,False
SENSOR_SALAH_SALEM_01,4,2026-06-16T05:24:49.028805+00:00,58,72.54,0.21,0.09,LOW,8,5,1,6,False,False
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-16T05:24:49.028805+00:00,81,53.96,1.89,0.1,LOW,8,5,1,6,False,False
SENSOR_SUEZ_ROAD_01,6,2026-06-16T05:24:49.028805+00:00,60,95.32,0.68,0.05,LOW,8,5,1,6,False,False
SENSOR_NASR_ROAD_01,7,2026-06-16T05:24:49.028805+00:00,33,54.63,1.69,0.09,LOW,8,5,1,6,False,False
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-16T05:24:49.028805+00:00,53,41.38,13.25,0.17,LOW,8,5,1,6,False,False
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-16T05:24:49.028805+00:00,37,46.25,1.54,0.08,LOW,8,5,1,6,False,False
SENSOR_EL_HARAM_STREET_01,10,2026-06-16T05:24:49.028805+00:00,86,56.81,3.98,0.05,LOW,8,5,1,6,False,False
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-16T05:24:49.028805+00:00,71,54.87,5.04,0.09,LOW,8,5,1,6,False,False
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-16T05:24:49.028805+00:00,29,43.07,1.39,0.14,LOW,8,5,1,6,False,False
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-16T05:24:49.028805+00:00,30,46.75,5.56,0.07,LOW,8,5,1,6,False,False
SENSOR_MAADI_ROAD_01,14,2026-06-16T05:24:49.028805+00:00,60,67.92,0.22,0.15,LOW,8,5,1,6,False,False
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-16T05:24:49.028805+00:00,83,51.49,4.19,0.14,LOW,8,5,1,6,False,False
SENSOR_TAHRIR_SQUARE_01,1,2026-06-16T06:24:49.028805+00:00,428,25.85,10.81,0.48,MEDIUM,9,6,1,6,False,False
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-16T06:24:49.028805+00:00,215,42.83,5.83,0.29,MEDIUM,9,6,1,6,False,False
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-16T06:24:49.028805+00:00,365,57.37,4.28,0.36,MEDIUM,9,6,1,6,False,False
SENSOR_SALAH_SALEM_01,4,2026-06-16T06:24:49.028805+00:00,285,48.94,1.01,0.39,MEDIUM,9,6,1,6,False,False
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-16T06:24:49.028805+00:00,342,25.68,7.97,0.57,HIGH,9,6,1,6,False,False
SENSOR_SUEZ_ROAD_01,6,2026-06-16T06:24:49.028805+00:00,246,73.73,2.8,0.26,MEDIUM,9,6,1,6,False,False
SENSOR_NASR_ROAD_01,7,2026-06-16T06:24:49.028805+00:00,209,39.65,10.72,0.34,MEDIUM,9,6,1,6,False,False
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-16T06:24:49.028805+00:00,194,28.15,48.5,0.44,MEDIUM,9,6,1,6,False,False
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-16T06:24:49.028805+00:00,137,35.28,5.71,0.29,MEDIUM,9,6,1,6,False,False
SENSOR_EL_HARAM_STREET_01,10,2026-06-16T06:24:49.028805+00:00,317,30.2,14.68,0.5,MEDIUM,9,6,1,6,False,False
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-16T06:24:49.028805+00:00,249,34.64,17.66,0.42,MEDIUM,9,6,1,6,False,False
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-16T06:24:49.028805+00:00,142,32.56,6.83,0.35,MEDIUM,9,6,1,6,False,False
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-16T06:24:49.028805+00:00,132,34.97,24.44,0.3,MEDIUM,9,6,1,6,False,False
SENSOR_MAADI_ROAD_01,14,2026-06-16T06:24:49.028805+00:00,338,41.49,1.21,0.48,MEDIUM,9,6,1,6,False,False
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-16T06:24:49.028805+00:00,240,41.47,12.12,0.31,MEDIUM,9,6,1,6,False,False
SENSOR_TAHRIR_SQUARE_01,1,2026-06-16T07:24:49.028805+00:00,542,16.12,13.69,0.68,HIGH,10,7,1,6,False,True
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-16T07:24:49.028805+00:00,474,14.23,12.85,0.76,CRITICAL,10,7,1,6,False,True
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-16T07:24:49.028805+00:00,715,16.33,8.39,0.82,CRITICAL,10,7,1,6,False,True
SENSOR_SALAH_SALEM_01,4,2026-06-16T07:24:49.028805+00:00,384,34.23,1.36,0.57,HIGH,10,7,1,6,False,True
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-16T07:24:49.028805+00:00,381,28.39,8.88,0.53,HIGH,10,7,1,6,False,True
SENSOR_SUEZ_ROAD_01,6,2026-06-16T07:24:49.028805+00:00,430,52.44,4.89,0.48,MEDIUM,10,7,1,6,False,True
SENSOR_NASR_ROAD_01,7,2026-06-16T07:24:49.028805+00:00,480,16.44,24.62,0.73,HIGH,10,7,1,6,False,True
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-16T07:24:49.028805+00:00,244,21.03,61.0,0.58,HIGH,10,7,1,6,False,True
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-16T07:24:49.028805+00:00,335,8.87,13.96,0.82,CRITICAL,10,7,1,6,False,True
SENSOR_EL_HARAM_STREET_01,10,2026-06-16T07:24:49.028805+00:00,334,27.18,15.46,0.55,HIGH,10,7,1,6,False,True
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-16T07:24:49.028805+00:00,396,20.0,28.09,0.67,HIGH,10,7,1,6,False,True
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-16T07:24:49.028805+00:00,220,24.85,10.58,0.5,HIGH,10,7,1,6,False,True
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-16T07:24:49.028805+00:00,295,16.44,54.63,0.67,HIGH,10,7,1,6,False,True
SENSOR_MAADI_ROAD_01,14,2026-06-16T07:24:49.028805+00:00,448,31.2,1.61,0.61,HIGH,10,7,1,6,False,True
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-16T07:24:49.028805+00:00,485,17.47,24.49,0.71,HIGH,10,7,1,6,False,True
SENSOR_TAHRIR_SQUARE_01,1,2026-06-16T08:24:49.028805+00:00,538,24.83,13.59,0.5,HIGH,11,8,1,6,False,True
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-16T08:24:49.028805+00:00,346,24.3,9.38,0.6,HIGH,11,8,1,6,False,True
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-16T08:24:49.028805+00:00,687,26.22,8.06,0.71,HIGH,11,8,1,6,False,True
SENSOR_SALAH_SALEM_01,4,2026-06-16T08:24:49.028805+00:00,396,31.14,1.41,0.61,HIGH,11,8,1,6,False,True
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-16T08:24:49.028805+00:00,456,21.8,10.63,0.64,HIGH,11,8,1,6,False,True
SENSOR_SUEZ_ROAD_01,6,2026-06-16T08:24:49.028805+00:00,565,39.79,6.42,0.6,HIGH,11,8,1,6,False,True
SENSOR_NASR_ROAD_01,7,2026-06-16T08:24:49.028805+00:00,405,27.9,20.77,0.54,HIGH,11,8,1,6,False,True
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-16T08:24:49.028805+00:00,253,17.51,63.25,0.65,HIGH,11,8,1,6,False,True
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-16T08:24:49.028805+00:00,227,20.9,9.46,0.58,HIGH,11,8,1,6,False,True
SENSOR_EL_HARAM_STREET_01,10,2026-06-16T08:24:49.028805+00:00,476,14.38,22.04,0.76,CRITICAL,11,8,1,6,False,True
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-16T08:24:49.028805+00:00,512,13.74,36.31,0.77,CRITICAL,11,8,1,6,False,True
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-16T08:24:49.028805+00:00,259,24.89,12.45,0.5,HIGH,11,8,1,6,False,True
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-16T08:24:49.028805+00:00,339,15.39,62.78,0.69,HIGH,11,8,1,6,False,True
SENSOR_MAADI_ROAD_01,14,2026-06-16T08:24:49.028805+00:00,352,41.27,1.26,0.48,MEDIUM,11,8,1,6,False,True
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-16T08:24:49.028805+00:00,496,12.45,25.05,0.79,CRITICAL,11,8,1,6,False,True
SENSOR_TAHRIR_SQUARE_01,1,2026-06-16T09:24:49.028805+00:00,443,26.57,11.19,0.47,MEDIUM,12,9,1,6,False,True
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-16T09:24:49.028805+00:00,472,16.59,12.79,0.72,HIGH,12,9,1,6,False,True
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-16T09:24:49.028805+00:00,519,37.82,6.09,0.58,HIGH,12,9,1,6,False,True
SENSOR_SALAH_SALEM_01,4,2026-06-16T09:24:49.028805+00:00,459,25.83,1.63,0.68,HIGH,12,9,1,6,False,True
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-16T09:24:49.028805+00:00,375,25.63,8.74,0.57,HIGH,12,9,1,6,False,True
SENSOR_SUEZ_ROAD_01,6,2026-06-16T09:24:49.028805+00:00,699,17.94,7.94,0.82,CRITICAL,12,9,1,6,False,True
SENSOR_NASR_ROAD_01,7,2026-06-16T09:24:49.028805+00:00,534,16.59,27.38,0.72,HIGH,12,9,1,6,False,True
SENSOR_ABBAS_EL_AKKAD_01,8,2026-06-16T09:24:49.028805+00:00,256,24.23,64.0,0.52,HIGH,12,9,1,6,False,True
SENSOR_HASSAN_EL_MAAMOUN_01,9,2026-06-16T09:24:49.028805+00:00,310,13.16,12.92,0.74,HIGH,12,9,1,6,False,True
SENSOR_EL_HARAM_STREET_01,10,2026-06-16T09:24:49.028805+00:00,415,21.1,19.21,0.65,HIGH,12,9,1,6,False,True
SENSOR_PYRAMIDS_ROAD_01,11,2026-06-16T09:24:49.028805+00:00,483,20.82,34.26,0.65,HIGH,12,9,1,6,False,True
SENSOR_MOHANDESSIN_STREET_01,12,2026-06-16T09:24:49.028805+00:00,280,16.26,13.46,0.67,HIGH,12,9,1,6,False,True
SENSOR_ZAMALEK_BRIDGE_01,13,2026-06-16T09:24:49.028805+00:00,298,16.43,55.19,0.67,HIGH,12,9,1,6,False,True
SENSOR_MAADI_ROAD_01,14,2026-06-16T09:24:49.028805+00:00,505,16.24,1.81,0.8,CRITICAL,12,9,1,6,False,True
SENSOR_HELIOPOLIS_MAIN_STREET_01,15,2026-06-16T09:24:49.028805+00:00,332,30.5,16.77,0.49,MEDIUM,12,9,1,6,False,True
SENSOR_TAHRIR_SQUARE_01,1,2026-06-16T10:24:49.028805+00:00,394,23.36,9.95,0.53,HIGH,13,10,1,6,False,False
SENSOR_CORNICHE_EL_NIL_01,2,2026-06-16T10:24:49.028805+00:00,192,45.68,5.2,0.24,LOW,13,10,1,6,False,False
SENSOR_RING_ROAD_CAIRO_01,3,2026-06-16T10:24:49.028805+00:00,416,51.57,4.88,0.43,MEDIUM,13,10,1,6,False,False
SENSOR_SALAH_SALEM_01,4,2026-06-16T10:24:49.028805+00:00,307,40.78,1.09,0.49,MEDIUM,13,10,1,6,False,False
SENSOR_OCTOBER_6_BRIDGE_01,5,2026-06-16T10:24:49.028805+00:00,295,34.1,6.88,0.43,MEDIUM,13,10,1,6,False,False
SENSOR_SUEZ_ROAD_01,6,2026-06-16T10:24:49.028805+00:00,342,57.6,3.89,0.42,MEDIUM,13,10,1,6,False,False
